ID: 2, Coconut Type: Dừa nạo
ID: 3, Coconut Type: Dừa non
ID: 4, Coconut Type: Dừa non
ID: 5, Coconut Type: Dừa già
ID: 6, Coconut Type: Dừa non
ID: 7, Coconut Type: Dừa nạo
ID: 8, Coconut Type: Dừa nạo
ID: 9, Coconut Type: Dừa già
ID: 10, Coconut Type: Dừa già
ID: 11, Coconut Type: Dừa già
ID: 12, Coconut Type: Dừa nạo
ID: 13, Coconut Type: Dừa già
ID: 14, Coconut Type: Dừa già
ID: 15, Coconut Type: Dừa già
ID: 16, Coconut Type: Dừa già
ID: 17, Coconut Type: Dừa già
ID: 18, Coconut Type: Dừa già
ID: 19, Coconut Type: Dừa già
ID: 20, Coconut Type: Dừa nạo
ID: 21, Coconut Type: Dừa già
ID: 22, Coconut Type: Dừa già
ID: 23, Coconut Type: Dừa già
ID: 24, Coconut Type: Dừa già
ID: 25, Coconut Type: Dừa non
ID: 26, Coconut Type: Dừa già
